"大学名","本部所在地","都道府県","市区町村","設立年","種別"
"大阪国際大学短期大学部","大阪府守口市藤田町6-21-57","大阪府","守口市",1962,"私立・短期大学"
"大阪産業大学","大阪府大東市中垣内3-1-1","大阪府","大東市",1965,"私立・大学"
"大阪歯科大学","大阪府枚方市楠葉花園町8-1","大阪府","枚方市",1952,"私立・大学"
"大阪樟蔭女子大学","大阪府東大阪市菱屋西4-2-26","大阪府","東大阪市",1949,"私立・大学"
"大阪商業大学","大阪府東大阪市御厨栄町4-1-10","大阪府","東大阪市",1949,"私立・大学"
"大阪信愛学院短期大学","大阪府大阪市城東区古市2丁目7番30号","大阪府","大阪市城東区",1959,"私立・短期大学"
"大阪信愛学院大学","大阪府大阪市城東区古市2丁目7番30号","大阪府","大阪市城東区",2021,"私立・大学"
"大阪城南女子短期大学","大阪府大阪市東住吉区湯里6-4-26","大阪府","大阪市東住吉区",1965,"私立・短期大学"
"大阪女学院短期大学","大阪府大阪市中央区玉造2-26-54","大阪府","大阪市中央区",1968,"私立・短期大学"
"大阪女学院大学","大阪府大阪市中央区玉造2-26-54","大阪府","大阪市中央区",2003,"私立・大学"
"大阪成蹊短期大学","大阪府大阪市東淀川区相川3-10-62","大阪府","大阪市東淀川区",1951,"私立・短期大学"
"大阪成蹊大学","大阪府大阪市東淀川区相川3-10-62","大阪府","大阪市東淀川区",2002,"私立・大学"
"大阪総合保育大学","大阪府大阪市東住吉区湯里6-4-26","大阪府","大阪市東住吉区",2005,"私立・大学"
"大阪体育大学","大阪府泉南郡熊取町朝代台1-1","大阪府","泉南郡熊取町",1965,"私立・大学"
"大阪千代田短期大学","大阪府河内長野市小山田町1685","大阪府","河内長野市",1965,"私立・短期大学"
"大阪電気通信大学","大阪府寝屋川市初町18-8","大阪府","寝屋川市",1961,"私立・大学"
"大阪人間科学大学","大阪府摂津市正雀1-4-1","大阪府","摂津市",2000,"私立・大学"
"大阪物療大学","大阪府堺市西区鳳北町3-33","大阪府","堺市西区",2010,"私立・大学"
"大阪保健医療大学","大阪府大阪市北区天満1-9-27","大阪府","大阪市北区",2008,"私立・大学"
"大阪夕陽丘学園短期大学","大阪府大阪市天王寺区生玉寺町7-72","大阪府","大阪市天王寺区",1950,"私立・短期大学"
"大谷大学","京都府京都市北区小山上総町20","京都府","京都市北区",1949,"私立・大学"
"大妻女子大学","東京都千代田区三番町12","東京都","千代田区",1949,"私立・大学"
"大妻女子大学短期大学部","東京都千代田区三番町12","東京都","千代田区",1950,"私立・短期大学"
"大手前短期大学","兵庫県西宮市御茶家所町6-42","兵庫県","西宮市",1951,"私立・短期大学"
"大手前大学","兵庫県西宮市御茶家所町6-42","兵庫県","西宮市",1966,"私立・大学"
"岡崎女子短期大学","愛知県岡崎市中町1-8-4","愛知県","岡崎市",1965,"私立・短期大学"
"岡崎女子大学","愛知県岡崎市中町1-8-4","愛知県","岡崎市",2012,"私立・大学"
"岡山医療専門職大学","岡山県岡山市北区大供3-2-18","岡山県","岡山市北区",2019,"私立・大学"
"岡山学院大学","岡山県倉敷市有城787","岡山県","倉敷市",2001,"私立・大学"
"岡山商科大学","岡山県岡山市北区津島京町2-10-1","岡山県","岡山市北区",1965,"私立・大学"
"岡山短期大学","岡山県倉敷市有城787","岡山県","倉敷市",1951,"私立・短期大学"
"岡山理科大学","岡山県岡山市北区理大町1-1","岡山県","岡山市北区",1964,"私立・大学"
"沖縄キリスト教学院大学","沖縄県中頭郡西原町字翁長777番地","沖縄県","中頭郡西原町",2003,"私立・大学"
"沖縄キリスト教短期大学","沖縄県中頭郡西原町字翁長777番地","沖縄県","中頭郡西原町",1959,"私立・短期大学"
"沖縄国際大学","沖縄県宜野湾市宜野湾2-6-1","沖縄県","宜野湾市",1972,"私立・大学"
"沖縄女子短期大学","沖縄県島尻郡与那原町東浜1番地","沖縄県","島尻郡与那原町",1966,"私立・短期大学"
"沖縄大学","沖縄県那覇市字国場555","沖縄県","那覇市",1974,"私立・大学"
"小田原短期大学","神奈川県小田原市城山4丁目5番1号","神奈川県","小田原市",1957,"私立・短期大学"
"帯広大谷短期大学","北海道河東郡音更町希望が丘3-3","北海道","河東郡音更町",1960,"私立・短期大学"
"折尾愛真短期大学","福岡県北九州市八幡西区堀川町11-1","福岡県","北九州市八幡西区",1966,"私立・短期大学"
"開智国際大学","千葉県柏市柏1225-6","千葉県","柏市",1999,"私立・大学"
"嘉悦大学","東京都小平市花小金井南町2-8-4","東京都","小平市",2000,"私立・大学"
"香川短期大学","香川県綾歌郡宇多津町浜一番丁10番地","香川県","綾歌郡宇多津町",1967,"私立・短期大学"
"鹿児島国際大学","鹿児島県鹿児島市坂之上8-34-1","鹿児島県","鹿児島市",1960,"私立・大学"
"鹿児島純心女子短期大学","鹿児島県鹿児島市唐湊4-22-1","鹿児島県","鹿児島市",1960,"私立・短期大学"
"鹿児島純心大学","鹿児島県薩摩川内市天辰町2365","鹿児島県","薩摩川内市",1993,"私立・大学"
"鹿児島女子短期大学","鹿児島県鹿児島市高麗町6-9","鹿児島県","鹿児島市",1965,"私立・短期大学"
"華頂短期大学","京都府京都市東山区林下町3-456","京都府","京都市東山区",1953,"私立・短期大学"
"活水女子大学","長崎県長崎市東山手町1-50","長崎県","長崎市",1981,"私立・大学"
"神奈川工科大学","神奈川県厚木市下荻野1030番地","神奈川県","厚木市",1975,"私立・大学"
"神奈川歯科大学","神奈川県横須賀市稲岡町82","神奈川県","横須賀市",1964,"私立・大学"
"神奈川歯科大学短期大学部","神奈川県横須賀市稲岡町82","神奈川県","横須賀市",1952,"私立・短期大学"
"神奈川大学","神奈川県横浜市神奈川区六角橋3-27-1","神奈川県","横浜市神奈川区",1949,"私立・大学"
"金沢医科大学","石川県河北郡内灘町字大学1-1","石川県","河北郡内灘町",1972,"私立・大学"
"金沢学院短期大学","石川県金沢市末町10","石川県","金沢市",1950,"私立・短期大学"
"金沢学院大学","石川県金沢市末町10-5","石川県","金沢市",1986,"私立・大学"
"金沢工業大学","石川県野々市市扇が丘7-1","石川県","野々市市",1965,"私立・大学"
"金沢星稜大学","石川県金沢市御所町丑10‐1","石川県","金沢市",1967,"私立・大学"
"金沢星稜大学女子短期大学部","石川県金沢市御所町丑10‐1","石川県","金沢市",1979,"私立・短期大学"
"鎌倉女子大学","神奈川県鎌倉市大船6-1-3","神奈川県","鎌倉市",1959,"私立・大学"
"鎌倉女子大学短期大学部","神奈川県鎌倉市大船6-1-3","神奈川県","鎌倉市",1950,"私立・短期大学"
"亀田医療大学","千葉県鴨川市横渚462","千葉県","鴨川市",2011,"私立・大学"
"川口短期大学","埼玉県川口市木曽呂1511","埼玉県","川口市",1986,"私立・短期大学"
"川崎医科大学","岡山県倉敷市松島577","岡山県","倉敷市",1970,"私立・大学"
"川崎医療短期大学","岡山県岡山市北区中山下2-1-70","岡山県","岡山市北区",1973,"私立・短期大学"
"川崎医療福祉大学","岡山県倉敷市松島288","岡山県","倉敷市",1990,"私立・大学"
"川村学園女子大学","千葉県我孫子市下ケ戸字保ケ前1133","千葉県","我孫子市",1987,"私立・大学"
"関西医科大学","大阪府枚方市新町二丁目5番1号","大阪府","枚方市",1952,"私立・大学"
"関西医療大学","大阪府泉南郡熊取町若葉2-11-1","大阪府","泉南郡熊取町",2002,"私立・大学"
"関西看護医療大学","兵庫県淡路市志筑1456-4","兵庫県","淡路市",2005,"私立・大学"
"関西外国語大学","大阪府枚方市中宮東之町16-1","大阪府","枚方市",1966,"私立・大学"
"関西外国語大学短期大学部","大阪府枚方市中宮東之町16-1","大阪府","枚方市",1953,"私立・短期大学"
"関西国際大学","兵庫県三木市志染町青山1-18","兵庫県","三木市",1997,"私立・大学"
"関西女子短期大学","大阪府柏原市旭ヶ丘3-11-1","大阪府","柏原市",1965,"私立・短期大学"
"関西大学","大阪府吹田市山手町3-3-35","大阪府","吹田市",1948,"私立・大学"
"関西福祉科学大学","大阪府柏原市旭ヶ丘3-11-1","大阪府","柏原市",1996,"私立・大学"
"関西福祉大学","兵庫県赤穂市新田380-3","兵庫県","赤穂市",1996,"私立・大学"
"関西学院大学","兵庫県西宮市上ケ原一番町1-155","兵庫県","西宮市",1948,"私立・大学"
"環太平洋大学","岡山県岡山市東区瀬戸町観音寺721","岡山県","岡山市東区",2006,"私立・大学"
"神田外語大学","千葉県千葉市美浜区若葉1-4-1","千葉県","千葉市美浜区",1986,"私立・大学"
"関東学院大学","神奈川県横浜市金沢区六浦東1-50-1","神奈川県","横浜市金沢区",1949,"私立・大学"
"関東学園大学","群馬県太田市藤阿久町200","群馬県","太田市",1976,"私立・大学"
"学習院女子大学","東京都新宿区戸山3-20-1","東京都","新宿区",1997,"私立・大学"
"学習院大学","東京都豊島区目白1-5-1","東京都","豊島区",1949,"私立・大学"
"畿央大学","奈良県北葛城郡広陵町馬見中4-2-2","奈良県","北葛城郡広陵町",2002,"私立・大学"
"北里大学","東京都港区白金5-9-1","東京都","港区",1962,"私立・大学"
"吉備国際大学","岡山県高梁市伊賀町8","岡山県","高梁市",1989,"私立・大学"
"九州栄養福祉大学","福岡県北九州市小倉北区下到津5-1-1","福岡県","北九州市小倉北区",2000,"私立・大学"
"九州大谷短期大学","福岡県筑後市蔵数495―1","福岡県","筑後市",1970,"私立・短期大学"
"九州看護福祉大学","熊本県玉名市富尾888番地","熊本県","玉名市",1997,"私立・大学"
"九州共立大学","福岡県北九州市八幡西区自由ケ丘1-8","福岡県","北九州市八幡西区",1965,"私立・大学"
"九州国際大学","福岡県北九州市八幡東区平野1-6-1","福岡県","北九州市八幡東区",1950,"私立・大学"
"九州産業大学","福岡県福岡市東区松香台2-3-1","福岡県","福岡市東区",1960,"私立・大学"
"九州産業大学造形短期大学部","福岡県福岡市東区松香台2-3-1","福岡県","福岡市東区",1968,"私立・短期大学"
"九州情報大学","福岡県太宰府市宰府6-3-1","福岡県","太宰府市",1997,"私立・大学"
"九州女子短期大学","福岡県北九州市八幡西区自由ケ丘1-1","福岡県","北九州市八幡西区",1960,"私立・短期大学"
"九州女子大学","福岡県北九州市八幡西区自由ケ丘1-1","福岡県","北九州市八幡西区",1962,"私立・大学"
"九州保健福祉大学","宮崎県延岡市吉野町1714-1","宮崎県","延岡市",1998,"私立・大学"
"九州龍谷短期大学","佐賀県鳥栖市村田町岩井手1350","佐賀県","鳥栖市",1952,"私立・短期大学"
"九州ルーテル学院大学","熊本県熊本市中央区黒髪3-12-16","熊本県","熊本市中央区",1996,"私立・大学"
"共愛学園前橋国際大学","群馬県前橋市小屋原町1154-4","群馬県","前橋市",1998,"私立・大学"
"共愛学園前橋国際大学短期大学部","群馬県前橋市昭和町3-7-27","群馬県","前橋市",1965,"私立・短期大学"
"共栄大学","埼玉県春日部市内牧4158","埼玉県","春日部市",2000,"私立・大学"
"京都医療科学大学","京都府南丹市園部町小山東町今北1-3","京都府","南丹市",2006,"私立・大学"
"京都華頂大学","京都府京都市東山区林下町3-456","京都府","京都市東山区",2010,"私立・大学"
"京都外国語短期大学","京都府京都市右京区西院笠目町6","京都府","京都市右京区",1950,"私立・短期大学"
"京都外国語大学","京都府京都市右京区西院笠目町6","京都府","京都市右京区",1959,"私立・大学"
"京都経済短期大学","京都府京都市西京区大枝東長町3-1","京都府","京都市西京区",1992,"私立・短期大学"
"京都芸術大学","京都府京都市左京区北白川瓜生山2-116","京都府","京都市左京区",1990,"私立・大学"
"京都光華女子大学","京都府京都市右京区西京極葛野町38","京都府","京都市右京区",1964,"私立・大学"
"京都光華女子大学短期大学部","京都府京都市右京区西京極葛野町38","京都府","京都市右京区",1950,"私立・短期大学"
"京都産業大学","京都府京都市北区上賀茂本山","京都府","京都市北区",1965,"私立・大学"
"京都情報大学院大学","京都府京都市左京区田中門前町7番地","京都府","京都市左京区",2004,"私立・大学"
"京都女子大学","京都府京都市東山区今熊野北日吉町35","京都府","京都市東山区",1949,"私立・大学"
"京都精華大学","京都府京都市左京区岩倉木野町137","京都府","京都市左京区",1978,"私立・大学"
"京都西山短期大学","京都府長岡京市粟生西条26","京都府","長岡京市",1950,"私立・短期大学"
"京都先端科学大学","京都府京都市右京区山ノ内五反田町18","京都府","京都市右京区",1969,"私立・大学"
"京都橘大学","京都府京都市山科区大宅山田町34","京都府","京都市山科区",1967,"私立・大学"
"京都ノートルダム女子大学","京都府京都市左京区下鴨南野々神町1","京都府","京都市左京区",1961,"私立・大学"
"京都美術工芸大学","京都府京都市東山区鞘町通正面下る上堀詰町272番地1","京都府","京都市東山区",2011,"私立・大学"
"京都文教短期大学","京都府宇治市槇島町千足80番地","京都府","宇治市",1960,"私立・短期大学"
"京都文教大学","京都府宇治市槇島町千足80番地","京都府","宇治市",1995,"私立・大学"
"京都薬科大学","京都府京都市山科区御陵中内町5","京都府","京都市山科区",1949,"私立・大学"
"共立女子短期大学","東京都千代田区一ツ橋2-2-1","東京都","千代田区",1950,"私立・短期大学"
"共立女子大学","東京都千代田区一ツ橋2-2-1","東京都","千代田区",1949,"私立・大学"
"杏林大学","東京都三鷹市新川6-20-2","東京都","三鷹市",1970,"私立・大学"
"桐生大学","群馬県みどり市笠懸町阿左美606番7","群馬県","みどり市",2007,"私立・大学"
"桐生大学短期大学部","群馬県みどり市笠懸町阿左美606番7","群馬県","みどり市",1963,"私立・短期大学"
"近畿大学","大阪府東大阪市小若江3-4-1","大阪府","東大阪市",1949,"私立・大学"
"近畿大学九州短期大学","福岡県飯塚市菰田東1-5-30","福岡県","飯塚市",1966,"私立・短期大学"
"近畿大学工業高等専門学校","三重県名張市春日丘7番町1番地","三重県","名張市",1962,"私立・大学"
"近畿大学短期大学部","大阪府東大阪市小若江3-4-1","大阪府","東大阪市",1950,"私立・短期大学"
"金城学院大学","愛知県名古屋市守山区大森2-1723","愛知県","名古屋市守山区",1949,"私立・大学"
"金城大学","石川県白山市笠間町1200","石川県","白山市",1999,"私立・大学"
"金城大学短期大学部","石川県白山市笠間町1200","石川県","白山市",1976,"私立・短期大学"
"岐阜医療科学大学","岐阜県関市市平賀字長峰795-1","岐阜県","関市",2005,"私立・大学"
"岐阜協立大学","岐阜県大垣市北方町5-50","岐阜県","大垣市",1967,"私立・大学"
"岐阜聖徳学園大学","岐阜県岐阜市柳津町高桑西一丁目1番地","岐阜県","岐阜市",1972,"私立・大学"
"岐阜聖徳学園大学短期大学部","岐阜県岐阜市中鶉一丁目38番地","岐阜県","岐阜市",1966,"私立・短期大学"
"岐阜女子大学","岐阜県岐阜市太郎丸80","岐阜県","岐阜市",1968,"私立・大学"
"岐阜保健大学","岐阜県岐阜市東鶉2-92","岐阜県","岐阜市",2018,"私立・大学"
"釧路短期大学","北海道釧路市緑ヶ岡1-10-42","北海道","釧路市",1964,"私立・短期大学"
"国立音楽大学","東京都立川市柏町5-5-1","東京都","立川市",1950,"私立・大学"
"熊本学園大学","熊本県熊本市中央区大江2-5-1","熊本県","熊本市中央区",1954,"私立・大学"
"熊本保健科学大学","熊本県熊本市北区和泉町亀の甲325","熊本県","熊本市北区",2002,"私立・大学"
"倉敷芸術科学大学","岡山県倉敷市連島町西之浦2640","岡山県","倉敷市",1994,"私立・大学"
"くらしき作陽大学","岡山県倉敷市玉島長尾3515","岡山県","倉敷市",1966,"私立・大学"
"久留米工業大学","福岡県久留米市上津町2228-66","福岡県","久留米市",1976,"私立・大学"
"久留米大学","福岡県久留米市旭町67","福岡県","久留米市",1950,"私立・大学"
"グローバルＢｉｚ専門職大学","神奈川県川崎市川崎区駅前本町22-1","神奈川県","川崎市川崎区",2022,"私立・大学"
"グロービス経営大学院大学","東京都千代田区二番町5番地1 住友不動産麹町ビル","東京都","千代田区",2005,"私立・大学"
"群馬医療福祉大学","群馬県前橋市川曲町191-1","群馬県","前橋市",2001,"私立・大学"
"群馬医療福祉大学短期大学部","群馬県前橋市川曲町191-1","群馬県","前橋市",1995,"私立・短期大学"
"群馬パース大学","群馬県高崎市問屋町1-7-1","群馬県","高崎市",2004,"私立・大学"
"敬愛大学","千葉県千葉市稲毛区穴川1-5-21","千葉県","千葉市稲毛区",1966,"私立・大学"
"慶應義塾大学","東京都港区三田2-15-45","東京都","港区",1949,"私立・大学"
"恵泉女学園大学","東京都多摩市南野2-10-1","東京都","多摩市",1987,"私立・大学"
"敬和学園大学","新潟県新発田市富塚字三賀境1270","新潟県","新発田市",1990,"私立・大学"
"健康科学大学","山梨県南都留郡富士河口湖町小立7187","山梨県","南都留郡富士河口湖町",2002,"私立・大学"
"光塩学園女子短期大学","北海道札幌市南区真駒内上町3-1-1","北海道","札幌市南区",1967,"私立・短期大学"
"工学院大学","東京都新宿区西新宿1-24-2","東京都","新宿区",1949,"私立・大学"
"皇學館大学","三重県伊勢市神田久志本町1704番地","三重県","伊勢市",1962,"私立・大学"
"甲子園短期大学","兵庫県西宮市瓦林町4-25","兵庫県","西宮市",1964,"私立・短期大学"
"甲子園大学","兵庫県宝塚市紅葉ガ丘10-1","兵庫県","宝塚市",1967,"私立・大学"
"高知学園短期大学","高知県高知市旭天神町292-26","高知県","高知市",1967,"私立・短期大学"
"高知学園大学","高知県高知市旭天神町292-26","高知県","高知市",2019,"私立・大学"
"高知リハビリテーション専門職大学","高知県土佐市高岡町乙1139-3","高知県","土佐市",2018,"私立・大学"
"甲南女子大学","兵庫県神戸市東灘区森北町6-2-23","兵庫県","神戸市東灘区",1964,"私立・大学"
"甲南大学","兵庫県神戸市東灘区岡本8-9-1","兵庫県","神戸市東灘区",1951,"私立・大学"
"神戸医療未来大学","兵庫県神崎郡福崎町高岡字塩田1966-5","兵庫県","神崎郡福崎町",1999,"私立・大学"
"神戸海星女子学院大学","兵庫県神戸市灘区青谷町2-7-1","兵庫県","神戸市灘区",1965,"私立・大学"
"神戸学院大学","兵庫県神戸市中央区港島1-1-3","兵庫県","神戸市中央区",1966,"私立・大学"
"神戸教育短期大学","兵庫県神戸市長田区西山町2丁目3番3号","兵庫県","神戸市長田区",1965,"私立・短期大学"
"神戸芸術工科大学","兵庫県神戸市西区学園西町8-1-1","兵庫県","神戸市西区",1988,"私立・大学"
"神戸国際大学","兵庫県神戸市東灘区向洋町中9-1-6","兵庫県","神戸市東灘区",1968,"私立・大学"
"神戸松蔭女子学院大学","兵庫県神戸市灘区篠原伯母野山町1-2-1","兵庫県","神戸市灘区",1966,"私立・大学"
"神戸親和大学","兵庫県神戸市北区鈴蘭台北町7-13-1","兵庫県","神戸市北区",1966,"私立・大学"
"神戸情報大学院大学","兵庫県神戸市中央区加納町2-2-7","兵庫県","神戸市中央区",2004,"私立・大学"
"神戸女学院大学","兵庫県西宮市岡田山4-1","兵庫県","西宮市",1948,"私立・大学"
"神戸女子短期大学","兵庫県神戸市中央区港島中町4-7-2","兵庫県","神戸市中央区",1950,"私立・短期大学"
"神戸女子大学","兵庫県神戸市須磨区東須磨青山2-1","兵庫県","神戸市須磨区",1966,"私立・大学"
"神戸常盤大学","兵庫県神戸市長田区大谷町2-6-2","兵庫県","神戸市長田区",2007,"私立・大学"
"神戸薬科大学","兵庫県神戸市東灘区本山北町4-19-1","兵庫県","神戸市東灘区",1949,"私立・大学"
"高野山大学","和歌山県伊都郡高野町大字高野山385","和歌山県","伊都郡高野町",1951,"私立・大学"
"香蘭女子短期大学","福岡県福岡市南区横手1-2-1","福岡県","福岡市南区",1958,"私立・短期大学"
"郡山女子大学","福島県郡山市開成3-25-2","福島県","郡山市",1966,"私立・大学"
"郡山女子大学短期大学部","福島県郡山市開成3-25-2","福島県","郡山市",1950,"私立・短期大学"
"國學院大學","東京都渋谷区東4-10-28","東京都","渋谷区",1948,"私立・大学"
"國學院大學栃木短期大学","栃木県栃木市平井町608","栃木県","栃木市",1966,"私立・短期大学"
"國學院大學北海道短期大学部","北海道滝川市文京町3-1-1","北海道","滝川市",1982,"私立・短期大学"
"国際医療福祉大学","栃木県大田原市北金丸2600-1","栃木県","大田原市",1994,"私立・大学"
"国際学院埼玉短期大学","埼玉県さいたま市大宮区吉敷町2-5","埼玉県","さいたま市大宮区",1983,"私立・短期大学"
"国際基督教大学","東京都三鷹市大沢3-10-2","東京都","三鷹市",1953,"私立・大学"
"国際高等専門学校","石川県金沢市久安2-270","石川県","金沢市",1962,"私立・大学"
"国際短期大学","東京都中野区江古田4-8-8","東京都","中野区",1950,"私立・短期大学"
"国際大学","新潟県南魚沼市国際町777","新潟県","南魚沼市",1982,"私立・大学"
"国際武道大学","千葉県勝浦市新官字物見塚841","千葉県","勝浦市",1983,"私立・大学"
"国士舘大学","東京都世田谷区世田谷4-28-1","東京都","世田谷区",1958,"私立・大学"
"こども教育宝仙大学","東京都中野区中央2-33-26","東京都","中野区",2008,"私立・大学"
"駒沢女子短期大学","東京都稲城市坂浜238","東京都","稲城市",1965,"私立・短期大学"
"駒沢女子大学","東京都稲城市坂浜238","東京都","稲城市",1992,"私立・大学"
"駒澤大学","東京都世田谷区駒沢1-23-1","東京都","世田谷区",1949,"私立・大学"
"埼玉医科大学","埼玉県入間郡毛呂山町大字毛呂本郷38","埼玉県","入間郡毛呂山町",1972,"私立・大学"
"埼玉医科大学短期大学","埼玉県入間郡毛呂山町大字毛呂本郷38","埼玉県","入間郡毛呂山町",1988,"私立・短期大学"
"埼玉学園大学","埼玉県川口市木曽呂1510","埼玉県","川口市",2000,"私立・大学"
"埼玉工業大学","埼玉県深谷市普済寺1690","埼玉県","深谷市",1976,"私立・大学"
"埼玉純真短期大学","埼玉県羽生市下岩瀬430","埼玉県","羽生市",1983,"私立・短期大学"
"埼玉女子短期大学","埼玉県日高市女影1616","埼玉県","日高市",1988,"私立・短期大学"
"埼玉東萌短期大学","埼玉県越谷市新越谷2-21-1","埼玉県","越谷市",2010,"私立・短期大学"
"佐賀女子短期大学","佐賀県佐賀市本庄町大字本庄1313","佐賀県","佐賀市",1966,"私立・短期大学"
"嵯峨美術短期大学","京都府京都市右京区嵯峨五島町1","京都府","京都市右京区",1971,"私立・短期大学"
"嵯峨美術大学","京都府京都市右京区嵯峨五島町1","京都府","京都市右京区",2000,"私立・大学"
"相模女子大学","神奈川県相模原市南区文京2-1-1","神奈川県","相模原市南区",1949,"私立・大学"
"相模女子大学短期大学部","神奈川県相模原市南区文京2-1-1","神奈川県","相模原市南区",1951,"私立・短期大学"
"作新学院大学","栃木県宇都宮市竹下町908","栃木県","宇都宮市",1988,"私立・大学"
"作新学院大学女子短期大学部","栃木県宇都宮市竹下町908","栃木県","宇都宮市",1967,"私立・短期大学"
"佐久大学","長野県佐久市岩村田2384","長野県","佐久市",2007,"私立・大学"
"佐久大学信州短期大学部","長野県佐久市岩村田2384","長野県","佐久市",1987,"私立・短期大学"
"作陽短期大学","岡山県倉敷市玉島長尾3524","岡山県","倉敷市",1951,"私立・短期大学"
"桜の聖母短期大学","福島県福島市花園町3-6","福島県","福島市",1955,"私立・短期大学"
"札幌学院大学","北海道江別市文京台11","北海道","江別市",1968,"私立・大学"
"札幌国際大学","北海道札幌市清田区清田4-1-4-1","北海道","札幌市清田区",1992,"私立・大学"
"札幌国際大学短期大学部","北海道札幌市清田区清田4-1-4-1","北海道","札幌市清田区",1969,"私立・短期大学"
"札幌大学","北海道札幌市豊平区西岡3-7-3-1","北海道","札幌市豊平区",1967,"私立・大学"
"札幌保健医療大学","北海道札幌市東区中沼西4条2-1-15","北海道","札幌市東区",2012,"私立・大学"
"札幌大谷大学","北海道札幌市東区北16条東9-1-1","北海道","札幌市東区",2005,"私立・大学"
"札幌大谷大学短期大学部","北海道札幌市東区北16条東9-1-1","北海道","札幌市東区",1961,"私立・短期大学"
"サレジオ工業高等専門学校","東京都町田市小山ヶ丘4-6-8","東京都","町田市",1962,"私立・大学"
"三育学院大学","千葉県夷隅郡大多喜町久我原1500","千葉県","夷隅郡大多喜町",2007,"私立・大学"
"産業技術短期大学","兵庫県尼崎市西昆陽1-27-1","兵庫県","尼崎市",1962,"私立・短期大学"
"産業能率大学","東京都世田谷区等々力6-39-15","東京都","世田谷区",1978,"私立・大学"
"山陽学園短期大学","岡山県岡山市中区平井1-14-1","岡山県","岡山市中区",1969,"私立・短期大学"
"山陽学園大学","岡山県岡山市中区平井1-14-1","岡山県","岡山市中区",1993,"私立・大学"
"山陽女子短期大学","広島県廿日市市佐方本町1-1","広島県","廿日市市",1963,"私立・短期大学"
"志學館大学","鹿児島県鹿児島市紫原1-59-1","鹿児島県","鹿児島市",1978,"私立・大学"
"滋賀短期大学","滋賀県大津市竜が丘24-4","滋賀県","大津市",1970,"私立・短期大学"
"至学館大学","愛知県大府市横根町名高山55","愛知県","大府市",1963,"私立・大学"
"滋賀文教短期大学","滋賀県長浜市田村町335","滋賀県","長浜市",1952,"私立・短期大学"
"四国学院大学","香川県善通寺市文京町3-2-1","香川県","善通寺市",1962,"私立・大学"
"四国大学","徳島県徳島市応神町古川字戎子野123-1","徳島県","徳島市",1966,"私立・大学"
"四国大学短期大学部","徳島県徳島市応神町古川字戎子野123-1","徳島県","徳島市",1961,"私立・短期大学"
"四條畷学園短期大学","大阪府大東市学園町6-45","大阪府","大東市",1964,"私立・短期大学"
"四條畷学園大学","大阪府大東市北条5-11-10","大阪府","大東市",2004,"私立・大学"
"静岡英和学院大学","静岡県静岡市駿河区池田1769番地","静岡県","静岡市駿河区",2001,"私立・大学"
"静岡英和学院大学短期大学部","静岡県静岡市駿河区池田1769番地","静岡県","静岡市駿河区",1966,"私立・短期大学"
"静岡産業大学","静岡県藤枝市駿河台4-1-1","静岡県","藤枝市",1993,"私立・大学"
"静岡福祉大学","静岡県焼津市本中根549-1","静岡県","焼津市",2003,"私立・大学"
"静岡理工科大学","静岡県袋井市豊沢2200-2","静岡県","袋井市",1990,"私立・大学"
"至誠館大学","山口県萩市大字椿東字浦田5000番地","山口県","萩市",1998,"私立・大学"
"四天王寺大学","大阪府羽曳野市学園前3-2-1","大阪府","羽曳野市",1967,"私立・大学"
"四天王寺大学短期大学部","大阪府羽曳野市学園前3-2-1","大阪府","羽曳野市",1957,"私立・短期大学"
"芝浦工業大学","東京都江東区豊洲3-7-5","東京都","江東区",1949,"私立・大学"
"柴田学園大学","青森県弘前市清原1-1-16","青森県","弘前市",1969,"私立・大学"
"柴田学園大学短期大学部","青森県弘前市上瓦ケ町25","青森県","弘前市",1950,"私立・短期大学"
"下関短期大学","山口県下関市桜山町1-1","山口県","下関市",1962,"私立・短期大学"
"社会構想大学院大学","東京都新宿区高田馬場1-25-30","東京都","新宿区",2016,"私立・大学"
"修紅短期大学","岩手県一関市萩荘字竹際49-1","岩手県","一関市",1953,"私立・短期大学"
"就実短期大学","岡山県岡山市中区西川原1-6-1","岡山県","岡山市中区",1953,"私立・短期大学"
